Vendor, Category, Item, Item Description, Price, Origin, Destination, Rating, Remarks
flawlessfakeids,Forgeries/Physical documents,Fake California Drivers License - Holograms/UV/Swipes,California Fake Driving Licence  Description:  Our California License is the pre-2010 issue style license and is valid and in circulation until 2015. This ID a 1:1 replica and features golden hol ...,0.8524634400000004 BTC,EU,Worldwide,5.00/5,Average price may be skewed outliar > .5 BTC found
livinglarge,Forgeries/Physical documents,mia flight booking,"$2,244 ",7.714051094601773 BTC,,,5.00/5,Average price may be skewed outliar > .5 BTC found
only,Tobacco/Smoked,Doina King Size (10 packs x 20 cigarettes),Strength: Tar 15mg  Nicotine 1.2mg  Buy them smokes directly from the source (SR veterans since 2012).  We ship to the USA  Canada  all the Western Europe and pretty much everywhere except for Ge ...,0.11727980905172415 BTC,Ukraine,Worldwide,4.89/5,
only,Tobacco/Smoked,Pall Mall Blue Slims (10 packs x 20 cigarettes),Strength: Tar 7.0mg  Nicotine 0.6mg  Buy them smokes directly from the source (SR veterans since 2012).  We ship to the USA  Canada  all the Western Europe and pretty much everywhere except for G ...,0.13394084779661025 BTC,Ukraine,Worldwide,4.89/5,
ShopAgent,Tobacco/Smoked,One Million Black Cigarettes to USA and EU,CHEAPEST PRICE WITH SAME QUALITY IN AGORA SHOP.  ===PLEASE write to us what kind of cigarettes do you want to buy.===  In 1carton=10packs=200cigarettes.All cigarettes EU made.  ================ ...,0.09954102619565221 BTC,EU,Worldwide,4.96/5,
ShopAgent,Tobacco/Smoked,KARELIA OME Cheap Cigarettes to USA and EU,CHEAPEST PRICE WITH SAME QUALITY IN AGORA SHOP.  ===PLEASE write to us what kind of cigarettes do you want to buy.===  ===================================  ATTENTION  MINIMAL ORDER IS 2 CARTO ...,0.11494279744680855 BTC,EU,Worldwide,4.96/5,
only,Tobacco/Smoked,Glamour Super Slims Lilac  (10 packs x 20 cigarettes),Strength: Tar 5.0mg  Nicotine 0.5mg  Buy them smokes directly from the source (SR veterans since 2012).  We ship to the USA  Canada  all the Western Europe and pretty much everywhere except for G ...,0.1170737076923077 BTC,Ukraine,Worldwide,4.89/5,
only,Tobacco/Smoked,Plugarul Non Filter (10 packs x 20 cigarettes),Strength: Tar 18.0mg  Nicotine 1.3mg  Buy them smokes directly from the source (SR veterans since 2012).  We ship to the USA  Canada  all the Western Europe and pretty much everywhere except for  ...,0.100611508362069 BTC,Ukraine,Worldwide,4.89/5,
only,Tobacco/Smoked,L&M Silver Label (10 packs x 20 cigarettes),Strength: Tar 4.0mg  Nicotine 0.4mg  Buy them smokes directly from the source (SR veterans since 2012).  We ship to the USA  Canada  all the Western Europe and pretty much everywhere except for G ...,0.07696178333333333 BTC,Ukraine,Worldwide,4.89/5,
ShopAgent,Tobacco/Smoked,Treasurer London Luxury Black  Cheap Cigarettes to USA and EU,CHEAPEST PRICE WITH SAME QUALITY IN AGORA SHOP.    In 1carton=10packs=200cigarettes.All cigarettes EU made.  ===================================  ATTENTION    ============================ ...,0.281350289787234 BTC,EU,Worldwide,4.96/5,
only,Tobacco/Smoked,L&M Vibe Slims (10 packs x 20 cigarettes),Strength: Tar 5.0mg  Nicotine 0.6mg  Buy them smokes directly from the source (SR veterans since 2012).  We ship to the USA  Canada  all the Western Europe and pretty much everywhere except for G ...,0.13354602805084753 BTC,Ukraine,Worldwide,4.89/5,
only,Tobacco/Smoked,Leana Non Filter (10 packs x 20 cigarettes),Strength: Tar 13.0mg  Nicotine 1.1mg  Buy them smokes directly from the source (SR veterans since 2012).  We ship to the USA  Canada  all the Western Europe and pretty much everywhere except for  ...,0.08709627068965517 BTC,Ukraine,Worldwide,4.89/5,
ES-Light,Tobacco/Smoked,Apple Flavored 30ml bottle of E-Liquid,Enjoy your vaping experience with full flavor! 30ml will last about a month for someone who smokes a pack or two per day. Please specify which strength of nicotine you would like: 0mg  8mg  16mg  or  ...,0.028829884 BTC,USA,Worldwide,5.00/5,
ShopAgent,Tobacco/Smoked,Treasurer London Luxury Menthol Cheap Cigarettes to USA and EU,CHEAPEST PRICE WITH SAME QUALITY IN AGORA SHOP.    In 1carton=10packs=200cigarettes.All cigarettes EU made.  ===================================     Name;Nicotine;Tar;Box Type  Treasurer ...,0.28265018423913046 BTC,EU,Worldwide,4.96/5,
only,Tobacco/Smoked,Glamour Super Slims Menthol  (10 packs x 20 cigarettes),Strength: Tar 3.0mg  Nicotine 0.3mg  Buy them smokes directly from the source (SR veterans since 2012).  We ship to the USA  Canada  all the Western Europe and pretty much everywhere except for G ...,0.11746239932203391 BTC,Ukraine,Worldwide,4.89/5,
ShopAgent,Tobacco/Smoked,Captain Black Light Pipe Tobacco,CHEAPEST PRICE WITH PERFECT QUALITY IN AGORA SHOP  ===================================  ATTENTION  price for 12 x 42g pouch  504g total   Not everyone that smokes tobacco likes to do so with ...,0.3491399125274726 BTC,EU,Worldwide,4.96/5,
only,Tobacco/Smoked,Cigaronne Exclusive Slims Black (10 packs x 20 cigarettes),Strength: Tar 10mg  Nicotine 0.8mg  Buy them smokes directly from the source (SR veterans since 2012).  We ship to the USA  Canada  all the Western Europe and pretty much everywhere except for Ge ...,0.15081707362068958 BTC,Ukraine,Worldwide,4.89/5,
only,Tobacco/Smoked,Red & White Fine (10 packs x 20 cigarettes),Strength: Tar 4.0mg  Nicotine 0.4mg  Buy them smokes directly from the source (SR veterans since 2012).  We ship to the USA  Canada  all the Western Europe and pretty much everywhere except for G ...,0.11739969895652175 BTC,Ukraine,Worldwide,4.89/5,
only,Tobacco/Smoked,Glamour Super Slims Blossom Aroma (10 packs x 20 cigarettes),Strength: Tar 3.0mg  Nicotine 0.3mg  Buy them smokes directly from the source (SR veterans since 2012).  We ship to the USA  Canada  all the Western Europe and pretty much everywhere except for G ...,0.11661954907563025 BTC,Ukraine,Worldwide,4.89/5,
ShopAgent,Tobacco/Smoked,Marlboro Gold Touch  Cheap Cigarettes to USA and EU,CHEAPEST PRICE WITH SAME QUALITY IN AGORA SHOP.   In 1carton=10packs=200cigarettes.All cigarettes EU made.  =================================  ATTENTION  MINIMAL ORDER IS 2 CARTONS  ====== ...,0.13426527477272737 BTC,EU,,4.96/5,
ShopAgent,Tobacco/Smoked,Red&White Cheap Cigarettes to USA and EU,CHEAPEST PRICE WITH SAME QUALITY IN AGORA SHOP.  ===PLEASE write to us what kind of cigarettes do you want to buy.===  In 1carton=10packs=200cigarettes.All cigarettes EU made.  ================ ...,0.10644560773195878 BTC,EU,Worldwide,4.96/5,
only,Tobacco/Smoked,Marlboro Flavor Note (10 packs x 20 cigarettes),Strength: Tar 3.0mg  Nicotine 0.2mg  Buy them smokes directly from the source (SR veterans since 2012).  We ship to the USA  Canada  all the Western Europe and pretty much everywhere except for G ...,0.1508184154310345 BTC,Ukraine,Worldwide,4.89/5,
only,Tobacco/Smoked,Beverly Blue (10 packs x 20 cigarettes),Strength: Tar 7mg  Nicotine 0.6mg  Buy them smokes directly from the source (SR veterans since 2012).  We ship to the USA  Canada  all the Western Europe and pretty much everywhere except for Ger ...,0.11493533072580644 BTC,Ukraine,Worldwide,4.89/5,
only,Tobacco/Smoked,Lucky Strike Blue (10 packs x 20 cigarettes),Strength: Tar 7.0mg  Nicotine 0.6mg  Buy them smokes directly from the source (SR veterans since 2012).  We ship to the USA  Canada  all the Western Europe and pretty much everywhere except for G ...,0.13344082991379314 BTC,Ukraine,Worldwide,4.89/5,
only,Tobacco/Smoked,Winston Classic (10 packs x 20 cigarettes),Strength: Tar 8.0mg  Nicotine 0.7mg  Buy them smokes directly from the source (SR veterans since 2012).  We ship to the USA  Canada  all the Western Europe and pretty much everywhere except for G ...,0.13456933026086956 BTC,Ukraine,Worldwide,4.89/5,
only,Tobacco/Smoked,Winston Silver (10 packs x 20 cigarettes),Strength: Tar 4.0mg  Nicotine 0.4mg  Buy them smokes directly from the source (SR veterans since 2012).  We ship to the USA  Canada  all the Western Europe and pretty much everywhere except for G ...,0.13455385939130435 BTC,Ukraine,Worldwide,4.89/5,
only,Tobacco/Smoked,Lucky Strike Original Red (10 packs x 20 cigarettes),Strength: Tar 10.0mg  Nicotine 0.8mg  Buy them smokes directly from the source (SR veterans since 2012).  We ship to the USA  Canada  all the Western Europe and pretty much everywhere except for  ...,0.07311080599999999 BTC,Ukraine,Worldwide,4.89/5,
ShopAgent,Tobacco/Smoked,Camel Silver  Cheap Cigarettes to USA and EU,CHEAPEST PRICE WITH SAME QUALITY IN AGORA SHOP.  In 1carton=10packs=200cigarettes.All cigarettes EU made.  ===================================  ATTENTION  MINIMAL ORDER IS 2 CARTONS  ====== ...,0.12338460397727266 BTC,EU,,4.96/5,
ES-Light,Tobacco/Smoked,Tobacco Flavored 30ml bottle of E-Liquid,Enjoy your vaping experience with full flavor! 30ml will last about a month for someone who smokes a pack or two per day. Please specify which strength of nicotine you would like: 0mg  8mg  16mg  or  ...,0.028829884 BTC,USA,Worldwide,5.00/5,
ES-Light,Tobacco/Smoked,Camel Flavored 30ml bottle of E-Liquid,Enjoy your vaping experience with full flavor! 30ml will last about a month for someone who smokes a pack or two per day. Please specify which strength of nicotine you would like: 0mg  8mg  16mg  or  ...,0.028829884 BTC,USA,Worldwide,5.00/5,
only,Tobacco/Smoked,Chesterfield Blue (10 packs x 20 cigarettes),Strength: Tar 6mg  Nicotine 0.5mg  Buy them smokes directly from the source (SR veterans since 2012).  We ship to the USA  Canada  all the Western Europe and pretty much everywhere except for Ger ...,0.13276694058333346 BTC,Ukraine,Worldwide,4.89/5,
only,Tobacco/Smoked,Davidoff Blue (10 packs x 20 cigarettes),Strength: Tar 4mg  Nicotine 0.4mg  Buy them smokes directly from the source (SR veterans since 2012).  We ship to the USA  Canada  all the Western Europe and pretty much everywhere except for Ger ...,0.1505507052136751 BTC,Ukraine,Worldwide,4.89/5,
mikehamer,Tobacco/Smoked,DUNHILL TAX FREE CIGARETTES CHEAP CIGARETTES,FOR SALE ARE 1 CARTON/10 PACKS/200 CIGARETTES OF: DUNHILL FINE CUT BLUE DUNHILL FINE CUT SILVER   !!!PLEASE SPECIFY WHAT KIND YOU WANT WHEN YOU BOUGHT THIS ITEM!!!  !!!!!!!!!!!!!!!!PLEASE READ ...,0.15950664262626263 BTC,Torland,WORLDWIDE,5.00/5,
mikehamer,Tobacco/Smoked,DONSKOY TABAK TAX FREE CIGARETTES CHEAP CIGARETTES,FOR SALE ARE 1 CARTON/10 PACKS/200 CIGARETTES OF: DONSKOY TABAK DARK  DONSKOY TABAK BRIGHT  !!!PLEASE SPECIFY WHAT KIND YOU WANT WHEN YOU BOUGHT THIS ITEM!!!  !!!!!!!!!!!!!!!!PLEASE READ OUR TE ...,0.1010913587128713 BTC,Torland,,5.00/5,
mikehamer,Tobacco/Smoked,DAVIDOFF TAX FREE CIGARETTES CHEAP CIGARETTES,FOR SALE ARE 1 CARTON/10 PACKS/200 CIGARETTES OF: DAVIDOFF CLASSIC DAVIDOFF GOLD DAVIDOFF BLUE DAVIDOFF SLIMS GOLD DAVIDOFF SLIMS BLACK DAVIDOFF SLIMS BLUE DAVIDOFF SLIMS WHITE DAVIDOFF SUPER ...,0.14991177674603168 BTC,Torland,WORLDWIDE,5.00/5,
mikehamer,Tobacco/Smoked,BLOOD TAX FREE CIGARETTES CHEAP CIGARETTES,FOR SALE ARE 1 CARTON/10 PACKS/200 CIGARETTES OF: BLOOD RED BLOOD BLUE BLOOD GOLD  !!!PLEASE SPECIFY WHAT KIND YOU WANT WHEN YOU BOUGHT THIS ITEM!!!  !!!!!!!!!!!!!!!!PLEASE READ OUR TERMS/PROF ...,0.09731803750000001 BTC,Torland,WORLDWIDE,5.00/5,
mikehamer,Tobacco/Smoked,GEORGE KARELIAS & SONS TAX FREE CIGARETTES CHEAP CIGARETTES,FOR SALE ARE 1 CARTON/10 PACKS/200 CIGARETTES OF: GEORGE KARELIAS & SONS FILTER GEORGE KARELIAS & SONS LIGHT   !!!PLEASE SPECIFY WHAT KIND YOU WANT WHEN YOU BOUGHT THIS ITEM!!!  !!!!!!!!!!!!!! ...,0.16110638455999998 BTC,Torland,WORLDWIDE,5.00/5,
mikehamer,Tobacco/Smoked,PRIMA LUX TAX FREE CIGARETTES CHEAP CIGARETTES,FOR SALE ARE 1 CARTON/10 PACKS/200 CIGARETTES OF: PRIMA LUX RED PRIMA LUX BLUE PRIMA LUX GOLD PRIMA LUX SILVER PRIMA LUX SUPERSLIMS SELECTION Nr. 6 PRIMA LUX SUPERSLIMS SELECTION Nr. 4  !!!PL ...,0.10976158131147538 BTC,Torland,WORLDWIDE,5.00/5,
mikehamer,Tobacco/Smoked,CIGARONNE TAX FREE CIGARETTES CHEAP CIGARETTES,FOR SALE ARE 1 CARTON/10 PACKS/200 CIGARETTES OF: CIGARONNE EXCLUSIVE MINI BLACK(LIMITED STOCK) CIGARONNE EXCLUSIVE MINI WHITE(LIMITED STOCK) CIGARONNE EXCLUSIVE BLACK(LIMITED STOCK) CIGARONNE EX ...,0.16678581983739835 BTC,Torland,WORLDWIDE,5.00/5,
mikehamer,Tobacco/Smoked,MONTE CARLO TAX FREE CIGARETTES CHEAP CIGARETTES,FOR SALE ARE 1 CARTON/10 PACKS/200 CIGARETTES OF: MONTE CARLO RED MONTE CARLO BLUE MONTE CARLO SILVER MONTE CARLO WHITE MONTE CARLO SUPERSLIMS INTRIGUE MONTE CARLO SUPERSLIMS FANTASY  !!!PLEA ...,0.1258535592622951 BTC,Torland,WORLDWIDE,5.00/5,
mikehamer,Tobacco/Smoked,GALAXY TAX FREE CIGARETTES CHEAP CIGARETTES,FOR SALE ARE 1 CARTON/10 PACKS/200 CIGARETTES OF: GALAXY ASTATIUM GALAXY AURUM GALAXY ARGENTIUM  !!!PLEASE SPECIFY WHAT KIND YOU WANT WHEN YOU BOUGHT THIS ITEM!!!  !!!!!!!!!!!!!!!!PLEASE READ  ...,0.07461696803278688 BTC,Torland,WORLDWIDE,5.00/5,
mikehamer,Tobacco/Smoked,LEANA NON-FILTER TAX FREE CIGARETTES CHEAP CIGARETTES,FOR SALE ARE 1 CARTON/10 PACKS/200 CIGARETTES OF: LEANA NON-FILTER  !!!!!!!!!!!!!!!!PLEASE READ OUR TERMS/PROFILE BEFORE BUY!!!!!!!!!!!!!!!!  Cheap cigarettes  high quality   made in europe ciga ...,0.0921436493442623 BTC,Torland,,5.00/5,
mikehamer,Tobacco/Smoked,DOINA TAX FREE CIGARETTES CHEAP CIGARETTES,FOR SALE ARE 1 CARTON/10 PACKS/200 CIGARETTES OF: DOINA SOFT PACK DOINA PREMIUM GOLD   !!!PLEASE SPECIFY WHAT KIND YOU WANT WHEN YOU BOUGHT THIS ITEM!!!  !!!!!!!!!!!!!!!!PLEASE READ OUR TERMS/ ...,0.09526049480000003 BTC,Torland,WORLDWIDE,5.00/5,
mikehamer,Tobacco/Smoked,LD TAX FREE CIGARETTES CHEAP CIGARETTES,FOR SALE ARE 1 CARTON/10 PACKS/200 CIGARETTES OF: LD RED LD BLUE LD SILVER  !!!PLEASE SPECIFY WHAT KIND YOU WANT WHEN YOU BOUGHT THIS ITEM!!!  !!!!!!!!!!!!!!!!PLEASE READ OUR TERMS/PROFILE BEF ...,0.11384609214285712 BTC,Torland,WORLDWIDE,5.00/5,
mikehamer,Tobacco/Smoked,KENT TAX FREE CIGARETTES CHEAP CIGARETTES,FOR SALE ARE 1 CARTON/10 PACKS/200 CIGARETTES OF: KENT HD FUTURA 8 KENT HD NEO 4 KENT HD INFINIA 1 KENT NANOTEK NEO KENT NANOTEK INFINIA KENT CONVERTIBLES (MENTHOL)  !!!PLEASE SPECIFY WHAT KI ...,0.1417097613008132 BTC,Torland,WORLDWIDE,5.00/5,
mikehamer,Tobacco/Smoked,VOGUE TAX FREE CIGARETTES CHEAP CIGARETTES,FOR SALE ARE 1 CARTON/10 PACKS/200 CIGARETTES OF: VOGUE SUPERSLIMS BLEUE VOGUE SUPERSLIMS LILAS VOGUE SUPERSLIMS PLATINE VOGUE SUPERSLIMS MENTHE  !!!PLEASE SPECIFY WHAT KIND YOU WANT WHEN YOU B ...,0.1449373496 BTC,Torland,WORLDWIDE,5.00/5,
mikehamer,Tobacco/Smoked,GOLDEN GATE TAX FREE CIGARETTES CHEAP CIGARETTES,FOR SALE ARE 1 CARTON/10 PACKS/200 CIGARETTES OF: GOLDEN GATE BLUE  GOLDEN GATE RED(NOT IN STOCK)  !!!PLEASE SPECIFY WHAT KIND YOU WANT WHEN YOU BOUGHT THIS ITEM!!!  !!!!!!!!!!!!!!!!PLEASE READ ...,0.10314303749999994 BTC,Torland,WORLDWIDE,5.00/5,
mikehamer,Tobacco/Smoked,LUCKY STRIKE TAX FREE CIGARETTES CHEAP CIGARETTES,FOR SALE ARE 1 CARTON/10 PACKS/200 CIGARETTES OF: LUCKY STRIKE ORIGINAL RED LUCKY STRIKE BLUE LUCKY STRIKE CLICK & ROLL  !!!PLEASE SPECIFY WHAT KIND YOU WANT WHEN YOU BOUGHT THIS ITEM!!!  !!!! ...,0.12368865680000002 BTC,Torland,WORLDWIDE,5.00/5,
mikehamer,Tobacco/Smoked,BERATT TAX FREE CIGARETTES CHEAP CIGARETTES,FOR SALE ARE 1 CARTON/10 PACKS/200 CIGARETTES OF: BERATT XXL BERATT XL BERATT L  !!!PLEASE SPECIFY WHAT KIND YOU WANT WHEN YOU BOUGHT THIS ITEM!!!  !!!!!!!!!!!!!!!!PLEASE READ OUR TERMS/PROFIL ...,0.10022724222222222 BTC,Torland,WORLDWIDE,5.00/5,
mikehamer,Tobacco/Smoked,ROTHMANS TAX FREE CIGARETTES CHEAP CIGARETTES,FOR SALE ARE 1 CARTON/10 PACKS/200 CIGARETTES OF: ROTHMANS BLUE ROTHMANS SILVER  ROTHMANS SUPERSLIMS BLUE ROTHMANS SUPERSLIMS SILVER  !!!PLEASE SPECIFY WHAT KIND YOU WANT WHEN YOU BOUGHT THIS I ...,0.11444535276422763 BTC,Torland,WORLDWIDE,5.00/5,
mikehamer,Tobacco/Smoked,BOND TAX FREE CIGARETTES CHEAP CIGARETTES,FOR SALE ARE 1 CARTON/10 PACKS/200 CIGARETTES OF: BOND STREET CLASSIC BOND STREET SPECIAL BOND STREET FINE BOND STREET SUPER SLIMS GOLD BOND STREET SUPER SLIMS SILVER   !!!PLEASE SPECIFY WHAT ...,0.1131919731451613 BTC,Torland,WORLDWIDE,5.00/5,
mikehamer,Tobacco/Smoked,MARLBORO TAX FREE CIGARETTES CHEAP CIGARETTES,FOR SALE ARE 1 CARTON/10 PACKS/200 CIGARETTES OF: MARLBORO RED MARLBORO FILTER PLUS MARLBORO FLAVOR NOTE MARLBORO GOLD MARLBORO GOLD TOUCH MARLBORO FINE TOUCH MARLBORO RED POCKET SIZE MARLBOR ...,0.14241877056451616 BTC,Torland,,5.00/5,
mikehamer,Tobacco/Smoked,RICHMOND TAX FREE CIGARETTES CHEAP CIGARETTES,FOR SALE ARE 1 CARTON/10 PACKS/200 CIGARETTES OF: RICHMOND CHERRY RICHMOND CHERRY GOLD  !!!PLEASE SPECIFY WHAT KIND YOU WANT WHEN YOU BOUGHT THIS ITEM!!!  !!!!!!!!!!!!!!!!PLEASE READ OUR TERMS/ ...,0.23041922322580644 BTC,Torland,WORLDWIDE,5.00/5,
mikehamer,Tobacco/Smoked,CLASSIC TAX FREE CIGARETTES CHEAP CIGARETTES,FOR SALE ARE 1 CARTON/10 PACKS/200 CIGARETTES OF: CLASSIC RED CLASSIC BLUE CLASSIC SILVER CLASSIC SLIMS BLUE CLASSIC SLIMS SILVER  !!!PLEASE SPECIFY WHAT KIND YOU WANT WHEN YOU BOUGHT THIS ITE ...,0.10950961903225806 BTC,Torland,WORLDWIDE,5.00/5,
mikehamer,Tobacco/Smoked,HILTON TAX FREE CIGARETTES CHEAP CIGARETTES,FOR SALE ARE 1 CARTON/10 PACKS/200 CIGARETTES OF: HILTON GOLD HILTON PLATINUM HILTON SUPERSLIMS LILAC HILTON SUPERSLIMS WHITE  !!!PLEASE SPECIFY WHAT KIND YOU WANT WHEN YOU BOUGHT THIS ITEM!!!  ...,0.11008087936507936 BTC,Torland,WORLDWIDE,5.00/5,
mikehamer,Tobacco/Smoked,WEST TAX FREE CIGARETTES CHEAP CIGARETTES,FOR SALE ARE 1 CARTON/10 PACKS/200 CIGARETTES OF: WEST COMPACT RED WEST COMPACT SILVER  !!!PLEASE SPECIFY WHAT KIND YOU WANT WHEN YOU BOUGHT THIS ITEM!!!  !!!!!!!!!!!!!!!!PLEASE READ OUR TERMS/ ...,0.11376508543999998 BTC,Torland,WORLDWIDE,5.00/5,
mikehamer,Tobacco/Smoked,STYLE SUPERSLIMS TAX FREE CIGARETTES CHEAP CIGARETTES,FOR SALE ARE 1 CARTON/10 PACKS/200 CIGARETTES OF: STYLE BLEUE SUPERSLIMS STYLE ROSE SUPERSLIMS STYLE ONE SUPERSLIMS  !!!PLEASE SPECIFY WHAT KIND YOU WANT WHEN YOU BOUGHT THIS ITEM!!!  !!!!!!!! ...,0.11091470346774195 BTC,Torland,WORLDWIDE,5.00/5,
mikehamer,Tobacco/Smoked,PRESIDENT TAX FREE CIGARETTES CHEAP CIGARETTES,FOR SALE ARE 1 CARTON/10 PACKS/200 CIGARETTES OF: PRESIDENT CLASSIC STARS PRESIDENT SPECIAL STARS  !!!PLEASE SPECIFY WHAT KIND YOU WANT WHEN YOU BOUGHT THIS ITEM!!!  !!!!!!!!!!!!!!!!PLEASE READ ...,0.10246542141414135 BTC,Torland,WORLDWIDE,5.00/5,
mikehamer,Tobacco/Smoked,CHESTERFIELD TAX FREE CIGARETTES CHEAP CIGARETTES,FOR SALE ARE 1 CARTON/10 PACKS/200 CIGARETTES OF: CHESTERFIELD BLUE CHESTERFIELD BRONZE  !!!PLEASE SPECIFY WHAT KIND YOU WANT WHEN YOU BOUGHT THIS ITEM!!!  !!!!!!!!!!!!!!!!PLEASE READ OUR TERMS ...,0.12555612701612903 BTC,Torland,,5.00/5,
mikehamer,Tobacco/Smoked,WONT TAX FREE CIGARETTES CHEAP CIGARETTES,FOR SALE ARE 1 CARTON/10 PACKS/200 CIGARETTES OF: WONT RED AMERICAN BLEND WONT BLUE WONT SILVER  !!!PLEASE SPECIFY WHAT KIND YOU WANT WHEN YOU BOUGHT THIS ITEM!!!  !!!!!!!!!!!!!!!!PLEASE READ  ...,0.11653208838383837 BTC,Torland,WORLDWIDE,5.00/5,
mikehamer,Tobacco/Smoked,TEMP TAX FREE CIGARETTES CHEAP CIGARETTES,FOR SALE ARE 1 CARTON/10 PACKS/200 CIGARETTES OF: TEMP AMERICAN BLEND TEMP EXPORT  !!!PLEASE SPECIFY WHAT KIND YOU WANT WHEN YOU BOUGHT THIS ITEM!!!  !!!!!!!!!!!!!!!!PLEASE READ OUR TERMS/PROFI ...,0.1096751168548387 BTC,Torland,,5.00/5,
mikehamer,Tobacco/Smoked,PREFECT TAX FREE CIGARETTES CHEAP CIGARETTES,FOR SALE ARE 1 CARTON/10 PACKS/200 CIGARETTES OF: PREFECT  !!!!!!!!!!!!!!!!PLEASE READ OUR TERMS/PROFILE BEFORE BUY!!!!!!!!!!!!!!!!  Cheap cigarettes  high quality   made in europe cigarettes Ma ...,0.10424019118110235 BTC,Torland,WORLDWIDE,5.00/5,
only,Tobacco/Smoked,Marlboro Red (10 packs x 20 cigarettes),Strength: Tar 9.0mg  Nicotine 0.7mg  Buy them smokes directly from the source (SR veterans since 2012).  We ship to the USA  Canada  all the Western Europe and pretty much everywhere except for G ...,0.15083976567796611 BTC,Ukraine,Worldwide,4.89/5,
ShopAgent,Tobacco/Smoked,KARELIA Cheap Cigarettes to USA and EU,CHEAPEST PRICE WITH SAME QUALITY IN AGORA SHOP.  ===PLEASE write to us what kind of cigarettes do you want to buy.===  ===================================  ATTENTION  MINIMAL ORDER IS 2 CARTO ...,0.11159952265306122 BTC,EU,Worldwide,4.96/5,
only,Tobacco/Smoked,Red & White Superslims Fine (10 packs x 20 cigarettes),Strength: Tar 15.0mg  Nicotine 1.1mg  Buy them smokes directly from the source (SR veterans since 2012).  We ship to the USA  Canada  all the Western Europe and pretty much everywhere except for  ...,0.11768047639484983 BTC,Ukraine,Worldwide,4.89/5,
only,Tobacco/Smoked,Camel Filters (10 packs x 20 cigarettes),Strength: Tar 8mg  Nicotine 0.6mg  Buy them smokes directly from the source (SR veterans since 2012).  We ship to the USA  Canada  all the Western Europe and pretty much everywhere except for Ger ...,0.13333333940677972 BTC,Ukraine,Worldwide,4.89/5,
only,Tobacco/Smoked,Davidoff Black Slims (10 packs x 20 cigarettes),Strength: Tar 4mg  Nicotine 0.4mg  Buy them smokes directly from the source (SR veterans since 2012).  We ship to the USA  Canada  all the Western Europe and pretty much everywhere except for Ger ...,0.1502426210169491 BTC,Ukraine,Worldwide,4.89/5,
only,Tobacco/Smoked,Davidoff Gold (10 packs x 20 cigarettes),Strength: Tar 7mg  Nicotine 0.6mg  Buy them smokes directly from the source (SR veterans since 2012).  We ship to the USA  Canada  all the Western Europe and pretty much everywhere except for Ger ...,0.15016151228813557 BTC,Ukraine,Worldwide,4.89/5,
ShopAgent,Tobacco/Smoked,Richmond Empire Edition Cheap Cigarettes to USA and EU,CHEAPEST PRICE WITH SAME QUALITY IN AGORA SHOP.  ===PLEASE write to us what kind of cigarettes do you want to buy.===  In 1carton=10packs=200cigarettes.All cigarettes EU made.  ================ ...,0.20909300645161283 BTC,EU,Worldwide,4.96/5,
only,Tobacco/Smoked,Armada Red (10 packs x 20 cigarettes),Strength: Tar 9mg  Nicotine 0.6mg  Buy them smokes directly from the source (SR veterans since 2012).  We ship to the USA  Canada  all the Western Europe and pretty much everywhere except for Ger ...,0.11486252564516128 BTC,Ukraine,Worldwide,4.89/5,
only,Tobacco/Smoked,Parliament Super Slims (10 packs x 20 cigarettes),Strength: Tar 5.0mg  Nicotine 0.5mg  Buy them smokes directly from the source (SR veterans since 2012).  We ship to the USA  Canada  all the Western Europe and pretty much everywhere except for G ...,0.16043622094827598 BTC,Ukraine,Worldwide,4.89/5,
only,Tobacco/Smoked,Virginia Super Slims Premium Blue (10 packs x 20 cigarettes),Strength: Tar 3.0mg  Nicotine 0.3mg  Buy them smokes directly from the source (SR veterans since 2012).  We ship to the USA  Canada  all the Western Europe and pretty much everywhere except for G ...,0.13355644394957986 BTC,Ukraine,Worldwide,4.89/5,
only,Tobacco/Smoked,Red & White Special (10 packs x 20 cigarettes),Strength: Tar 8.0mg  Nicotine 0.7mg  Buy them smokes directly from the source (SR veterans since 2012).  We ship to the USA  Canada  all the Western Europe and pretty much everywhere except for G ...,0.11699085152542373 BTC,Ukraine,Worldwide,4.89/5,
ShopAgent,Tobacco/Smoked,Camel White Super Slims Cheap Cigarettes to USA and EU,CHEAPEST PRICE WITH SAME QUALITY IN AGORA SHOP.   In 1carton=10packs=200cigarettes.All cigarettes EU made.  ===================================  ATTENTION  MINIMAL ORDER IS 2 CARTONS  ==== ...,0.12284565811111103 BTC,EU,,4.96/5,
grimreaper,Tobacco/Smoked,5 x Joint,5 Pre Rolled Joints All rolled with G13 Haze  Golden Virginia Tobacco & Swan Silver Kingsize Rizla.  Stealth packed and ready for your festival or  any where you cant get out your stash and roll.,0.1062152775 BTC,UK,UK,5.00/5,
only,Tobacco/Smoked,Vogue Super Slims Lilas (10 packs x 20 cigarettes),Strength: Tar 4.0mg  Nicotine 0.5mg  Buy them smokes directly from the source (SR veterans since 2012).  We ship to the USA  Canada  all the Western Europe and pretty much everywhere except for G ...,0.13395511559322038 BTC,Ukraine,Worldwide,4.89/5,
